content,date,Sentiment
"Really dissappointed in this app. Was using it to schedule my customers appointments. As soon as the new version came out, I lost everything. Going back to paper as at least my paper won't delete everything. A terrible app for business owners and scheduling appointments. Absolutely horrible and I'm very angry.",2022-12-04,Negative
Thanks to your stupid update I lost ALL of my appointment dates... Terrible garbage.,2024-05-28,Negative
"I miss Cal. The updates destroyed it, turned this into a cookie-cutter to-do app. It's a shame.",2024-12-12,Negative
Was great but can't connect with other people since last update. Invite will go out and will even receive the invitation but doesn't link and have had no luck with customer support,2024-03-02,Negative
I WAS TRYING FOR DAYS TO UN SUBSCRIBE. BUT OF COURSE THAT I was charged. Absolutely no support. Horrible and disgusting tactics,2022-08-05,Negative
"Update ruined app Last update re-formatted the ""Plan My Day"" function so the ability to schedule tasks for that day or postpone into the future is unusable, so I have 50+ tasks and to way to arrange them into a comprehensive order. Contacted the developer who emailed me back after 4 days asking for a screenshot of the problem, so I sent it right back. 3 days later - no response from the developer, no fix, nothing. Update9/8: no fix, moved to aCalTasks +",2024-02-03,Negative
👎,2022-07-07,Positive
"Does not do weekly reminders correctly. I opened a bug report, and was told that it was a known bug. A reminder app that gets reminders at the wrong time is a big 'no' from me.",2023-01-15,Negative
"In app purchases significantly impact experience. £16 a year for features such as recurring tasks, you're having a laugh",2023-05-08,Positive
You need an account because they want to track your cookies for ads,2024-11-30,Positive
Need to create an account to use it.,2025-03-26,Neutral
"Is NOTHING free anymore??. It looks like a good app but as soon as you open it, it gives the subscription rates 🤬🤬🤬🤬. I uninstalled immediately. Don't bother. Believe it or not, some people don't enjoy being nickle and dimed!",2022-01-15,Negative
Very bad,2022-03-06,Negative
Pratz,2023-06-05,Positive
i sent an ivite to people and everyone got over 50 emails for the one invite. What a joke of a an app.,2025-02-26,Negative
I have to sync whatttt gtfohhhhhh,2023-10-10,Negative
Bring back my money! Why your system stolen my money from pending subscribe? Without confirmation and notification!!!! Wheres my money???,2024-12-22,Negative
WHY IS THIS SO BUGGY NOW? WHY ARE YOU NO LONGER REALLY BEING ATTENTIVE TO QUALITY CONTROL? CANT DELETE TASK ON ONE TRY. CAN NO LONGER DELETE FINISHED TASKS WITHOUT SEVERAL ATTEMPTS. ALL COMMANDS ARE HESITANT. ALL COMMANDS REQUIRE MULTIPLE ATTEMPTS. I HAVE EMAILED YOU 3 TIMES WITH NO RESPONSE. PLEASE ADVISE.,2025-03-08,Negative
Hum hai al Ghj,2023-08-16,Negative
Shabab,2023-01-27,Neutral
Makes simple things extremely complicated,2023-02-23,Negative
Even after your response it doesn't change the fact that you are required to have an account to proceed. The reasoning that others do it is negligible. Only way I would rate this app better is if you had an Anonymous auto log in that can be converted to a full account on sign up or log in.,2022-10-16,Negative
The latest update now not working fine at all. It's worsening day by day. The developers now appears to have a different intention that premium paid version is purchased by the users.,2023-01-14,Negative
Just use your basic phone calendar,2022-08-19,Positive
I want to cancel the subscription.,2024-10-14,Negative
MoneyGrabber Wants you to pay premium to choose specific dates.,2022-02-10,Negative
Does not do much different than Google tasks (which is easier to use and is free). As a result I wanted a refund as I only realized this after my 7 day trial. Refunds are only given within 24 hours of their drawing their fee. Not sure that is legal for an automatic subscription after app trial.,2024-11-17,Negative
"Bekaar... bagwas.. time waste... useless.. and asking for payment, before use anyway",2022-05-15,Negative
Useless app... Set up 8 reminders during a course of 4 days and not once received any notification! Waste of money.,2022-07-20,Negative
Subscription!!!,2024-02-19,Positive
"This app met my needs until this latest update. Dislike the new format to such a degree that it's a dealbreaker. Now I have to start from scratch researching apps to find a replacement. I know, I used the free version so you don't care if I go but this is such a disappointment.",2024-07-18,Negative
It syncs EVERYTHING. terrible. you have to get the pro version in order to be able to do anything actually worth while!!!,2024-11-22,Negative
I don't found usefulness,2024-12-07,Negative
"In the calendar of Any.do, 1st of August is marked as bakr-Id, but 22nd August is not marked as Ganesha chaturthi! Is there a specific reason? or was it conveniently forgotten? Developer, please do respond. Because it depends on your response whether to buy it or not?",2023-05-18,Negative
Its a good app but the app keeps crashing when i allow this app to add to my calendar. After adding it to calendar then yhis app doesnt open. Keeps crashing,2023-02-11,Neutral
"Saying free and simple is not telling people it is a 7 day free trial especially at Google play store and people only know it's a 7 day free trial after they download it. So why won't Google do anything about this app developers not mention their apps have a trial period, which results in people downloading apps for nothing. PS 95% of the app is free, until the trial period finishes.",2024-03-15,Negative
"Scam premium that bypasses GooglePlay, On the mobile app you can only buy 1 year of premium while on the website a monthly payment is possible. People buy the monthly more often and the developer listed it on its personal website only to bypass google fee, thus i need to link my card on their site too",2022-04-09,Negative
"This new layout is just awful. Just ridiculously awful. I cannot in any way fathom how this got a thumbs up from anybody. Bye bye Any.do, I'm off to download something that wasn't designed by a nine year old.",2023-11-15,Negative
You have to open an account with them. I won't be going there. Would be nice to be given the choice.,2023-12-27,Negative
"There is no option to delete the account. If i don't find this app useful, you guyz will keep my data? This is against the policies and norms",2024-08-18,Negative
Efvig,2023-09-05,Positive
Sorry way to complicated. And why would you think I want my information out on your servers? Wanted to create a weekday event spent more time trying to figure out how to do that than it took to write in a diary.,2023-10-05,Negative
Super,2024-10-25,Positive
Worked great for a few years and then the past couple of months it eats anything added to the list! I can sit and watch things drop off before my very eyes!,2023-05-18,Positive
Way over priced for what it does. Not worth it!!,2024-02-06,Negative
Delete application,2023-02-02,Negative
Laggy responses to resolved items and errors in recurring reminders,2024-05-20,Negative
Nice app,2024-03-05,Positive
No new it's repeated app,2023-01-28,Negative
It stop working and I try to reinstall it but same problem,2022-07-26,Negative
"Automatically shows the reminder Snackbar when I open other apps without me setting it up, what kind of violation is this??? Stop bugging your users unsolicitedly. Uninstalled",2024-11-04,Negative
"I love this app, but I do have one major gripe - I want an option to buy premium once (even at a higher price) and not as a monthly or yearly subscription. Edit - very unhappy with developer response to pricing. I want to buy premium for this great product they made, but it's NOT a service. This isn't Netflix. You're going to turn potential buyers away with this pricing model",2024-06-10,Neutral
Atleast make a few features available .. if the customer donot like the app at initial stage than how would he/she ever think about going premium,2024-05-13,Neutral
"Requires a sign up for features I have no interest in using, but can't opt out of.",2024-01-13,Neutral
Did not sign up. App not even on my phone. This payment deduction will be reported and I request you refund my money immediately.,2023-07-18,Negative
Autofill on Android 10 does not work,2024-10-17,Negative
"Had charged twice but still not getting premium version access,",2022-04-06,Negative
Have have to make an account in order to use this app. There is no way around it.,2023-04-30,Negative
"Creating an account is supposed to ALLOW you, not FORCE you. Uninstalled without trying it",2022-08-19,Negative
Stop Adding Groceries Items Like an Ad,2024-01-19,Negative
Bakwas app,2023-06-25,Positive
"I don't get task notifications anymore!!! This app has become useless. I have uninstalled and reinstalled, turned on / allowed notifications in the settings yet nothing.",2024-11-25,Negative
Good improvements but still don't have nag or presisitent reminders. I missing a lot reminders accidentally,2023-06-09,Neutral
"Useless, ring bells only one time, and not a good reminder",2025-03-29,Negative
Having to pay to set a recurring task is ridiculous and essentially makes the app useless to anyone who doesn't want to pay so this essentially is not a free app.,2025-01-14,Negative
There is some issue in payment.,2023-08-01,Neutral
Too complicated. I need a plan to plan tasks.,2023-11-13,Negative
Everything it expects you to pay,2023-07-11,Positive
"This app is useless unless you make the monthly payment, in that case does exist other app free and only with the essential",2024-10-09,Negative
Too many features locked behind premium.,2023-10-08,Negative
Worst app,2024-03-06,Negative
"I have the same recurring tasks to do every day. I need a to-do-list reminder to buzz me when it's time. The problem with this app, is that those reminder times somehow start drifting every day, giving me different times the next day! That is an annoying fail! Screw it, I'm going elsewhere. if I find a better app, I'll let you guys know. UPDATE : Suggestion did not work, and I found an app, that does not drift. I have moved on.",2024-11-17,Negative
"OMG the UI is awful, seriously you have popup for premium every 2 seconds, there's no intuitive way see a normal calendar, you have to create an account even if you don't want to, the app is beautiful but show screen where it's impossible to understand what you have to do. It's a calendar, show a f... calendar.",2022-07-09,Negative
Not good,2023-09-25,Negative
"Trash. Yes, it has some nice nifty features but it lacks in complete necessities to actually plan your day. You can make a task, perfectly include subtasks and then add a nice color to the task. But no yellow, because that's already the fixed color of the 'priority label'. Reminders are great, except you can only have one. If I want to have a reminder on Wednesday 10AM and a reminder on Friday 6PM, I'd need a different app. Because this app only allows you to set 1 reminder. Frustrating. 0/10",2023-09-20,Negative
"Is it necessary to sign up account? While making a new account it's shows error ""oops try again later""",2024-08-30,Negative
I've been using the app for a while and since last week it has been acting weird. I don't receive reminders anymore and it's completely a waste of time to set reminders! Not very reliable right now,2023-12-11,Negative
"While it's nice program, I can justify paying for it in perpetuity. That's just insane.",2023-10-11,Negative
Have to pay for recurrent daily task.. which is the main purpose of that app.,2022-11-14,Neutral
"List sharing sharing is not working. UX is straight from iOS app, terrible",2023-11-15,Negative
"Worst app I have ever used, it doesn't do anything.",2023-10-26,Negative
Raben nat s7,2025-02-10,Positive
First thing that happened upon opening is asking for payment. Good job.,2023-03-18,Positive
"I do not have much to say in regards to the app itself. It seems to function fine, but it was not the calendar app that I needed. The reason I am giving it 1 star is because I canceled my subscription and account within the seven day free trial and still got charged the yearly rate. The problem has been reported to the company. I will keep this review updated with any action from Any.Do. UPDATE: The gist of the problem is this. Any.do makes it very difficult to find out how to cancel the sub.",2023-07-18,Negative
"Unable to register with an email. Clicking""continue with email"" will just take you to a login page. Complete waste of time. I searched them first three pages of Google for a solution and found nothing. Found no solution on their help section. I don't want to register with Facebook or Google. If you include a feature, make sure it actually works.",2025-02-10,Negative
"My backup is gone, very important data deleted",2024-08-09,Negative
"Any.Forget... Had an instance of daily repeating event, that I have marked as complete today and somehow it did skip the next day and only proceeded to the day after. Kind of ""daily event with some days skipped"". So useless to me as can't be trusted for notifying about daily routine tasks. P.S. don't tell me I don't know how to setup a recurring event!!",2025-01-09,Negative
"It works okay, But I did not consent to subscribing at $28/year subscription. I thought I purchased it until I saw that it was renewed for an additional $28. It's definitely not worth that price. Very angry and ripped off. I got charged twice for something that I thought I bought outright. I will never buy anything from them. Ever",2023-11-30,Negative
Very slow app it took me 10 min just to start the app....,2022-04-23,Negative
"Updates made that are not fully tested. They need to add option to revert back to the olddd verison. that was simple to use, but most importantly it worked.",2022-01-02,Neutral
Anydo,2023-10-04,Neutral
"App loding ke baad peese maang raha hai, pahle bataaye , data kyo kharaab karwaya",2022-08-08,Negative
"Ruined the app by trying to get too fancy. My wife has also become frustrated with it. She has had it since it started and now struggles with it. You should be able to add a task then go straight to set time/day. But instead, you have all the other short cuts there that really aren't.",2024-05-04,Negative
I could not have any expirions about this app,2023-01-20,Negative
Terrible App. Don't waste your money.,2025-02-27,Negative
I couldn't use it,2024-12-12,Negative
Looks like a pretty good app but it doesn't sync with Alexa. Which is the main reason I installed it. Shouldn't be this difficult.,2023-12-31,Neutral
"Forces you to sign up and use credentials, uninstalled.",2022-09-04,Positive
Hf,2024-04-15,Positive
Most useless app ever used! Very difficult to save anything or find anything! Put some tasks didn't get any reminders so didn't do it! Erasing this nonsense Can't even save this review,2022-07-22,Negative
Its a great app but I dont receive any events notification although I have allowed the notification to come through from this app. I really don't understand why because I have set everything correctly.,2022-05-03,Neutral
Virender.kumar,2023-02-05,Positive
Useless,2024-02-06,Negative
Price is high,2022-10-21,Neutral
"Under subtitle *security* ""However, please note that we cannot guarantee that the information will not be exposed as a result of unauthorized penetration to our servers"" Sorry no thanks.i just downloaded but after reading privacy policy i prefer going thru •Google official •one & app like calendar required lot of access ,&i personally don't wanna bleach my data like this..btw the tq for placing the info it to let us know :)",2022-10-07,Negative
Bad app,2024-06-02,Negative
Tried doing all the settings as per ur guidence.. but app is not supporting popups in lock screen.. everytime I have to unlock my screen to check the event..,2022-07-17,Negative
"This is an overengineered list keeping app that I hate. I kept it for years in spite of that because I was in the ecosystem, but today it locked me out of my grocery list so good riddance. No i don't need it to take thirty seconds to boot up my grocery list so that your algorithm can tell me how to most productively plan my day by sorting my grocery list in order of the order I entered each item. I do not need an any.do minute.",2024-09-08,Positive
KimHong,2024-01-22,Neutral
I hate this app 😡😤😤 as soon as I downloaded it my phone was hanging 😠😠😠😡😠😡 😠,2022-05-24,Negative
"Monthly fee for Dark mode, really? I could accept a one time payment for such a feature but not monthly.",2023-09-01,Negative
"No Grocery widget, Ridiculous... The task widget is confusing, I just want to be able to add stuff simply on the fly.",2025-02-21,Negative
This app has Malware.,2022-07-06,Negative
"Not happy, app just asked me to 'sign in' and now has deleted all my previous reminders. I had reminders set up for throughout the rest of this year and now I don't know what they were. You've put me off using your app now, what's the point if it's not reliable!!!",2023-04-09,Negative
Not Making an Account!,2023-10-22,Negative
"I was a customer of Any.Do for a while and on March 2020 i clearly asked them NOT to renew my subscription as i found a different company to provide me task manger services - Todoist. More than that - i even consult with Any.Do technical support team how to transfer my database to Todoist and over the phone, i ALSO remind them to cancel it. I received the cancellation notice and I DID NOT ask them to renew/continue any of Any.Do services. More than that - i also have the Invoice from the company i moved my services, Todoist, for the same period of time that Any.Do charged me for. After i tried to contact Any.Do they refused to refund me. Therefore, i let you and everybody to know that I WILL NOT USE ANY OF ANY.DO services anymore and recommend everyone that read this post DO NOT USE ANY.DO SERVICES or you taking a big risk that something like that will happen to you as well.",2024-02-03,Negative
"EVERY service I attempted to connect (Gmail, Gtasks, google calendar,) timed out during setup (oops error). Been 2 days and still no reply from support. Device is Samsung S9 with Android 10.",2024-08-12,Negative
"This app used to be great when paired with Alexa. Every once in awhile the sync would break but disabling the app and relinking the account would fix the issue. This has not been the case for the past several months. Any.do it is no longer syncing with Alexa and based on the reviews of the Alexa app it is affecting a lot of people, has been ongoing for weeks, and there doesn't appear to be a fix coming. Going to give anylist a try to see if it works with Alexa.",2023-02-07,Negative
I dont know..why people appreciate this app..not user friendly...,2022-05-27,Negative
Time setting is so dumb. Fix it,2025-03-17,Negative
SWEETY SWEETY Kumari,2024-05-13,Positive
Not working,2023-05-04,Negative
No integration with created Alexa Lists.,2024-07-17,Negative
You have to pay for all the decent features... There's nothing you want to do that your alarm doesn't already do,2023-07-05,Negative
can't open,2022-12-04,Negative
Hopeless,2024-05-21,Negative
I dont understand how it works. Not very clear on how to use it. And it comstantly showed notifications for anything i made a note of,2023-10-03,Negative
Do not have option to not connect to fb google or email,2023-04-18,Negative
"It's testing the edge of my patience. Even though I have better internet connection it keeps saying ""couldn't find the Internet connection. Try again later"". It's my first time. I can't sign in so I can't go in to the app and plan anything. Already I tried reinstall twice.",2022-05-31,Positive
Please Add UPI feature because I tried many debit cards to get the Premium Versionof this app but any of them was accepted.,2022-09-20,Negative
Lost all my lists when I was forced to give email address. Was good prior to having to start all over.,2022-05-24,Negative
"Many errors, the app is good but sometimes with the recurrent task do not work when I use desktop app it do not sync well and I lose many task and this is unpleasant. Pay for this app with this errors is a bad idea. I do no feel secure with app I lose taks and time. I hope the app get better. And the plan my day would be good if add the tasks in someday",2022-12-12,Negative
"Since last 2 updates I am facing this problem that when I open the app, one or two tasks get shuffled to the top. Then I have to put it again in the planned sequence. This happens almost everytime I open the app.",2023-09-16,Negative
"Updates made it worse. Was using it all the time, and the recent updates made it all confusing and unnecessarily graphically complex. Sorry had to uninstall.",2024-10-13,Negative
Rare,2024-05-30,Neutral
Good app but I wish there was a monthly payment option for premium instead of annual.,2022-01-02,Neutral
Pushing to hard for premium upgrade. Not interested anymore,2024-06-15,Negative
"Ill join with my fellow reviewers and say that i was very satisfied with the app when i started using it about two years ago, but since then i feel that its functionality and simplicity have been compromised, especially with the newest update that just made the app's interface (via smartphone) completely uncomfortable because i can't see my tasks laid out chronologically in an organized and pleasing way anymore.",2022-09-11,Negative
Whapp integration is bad. Barely anything works. Focus to whapp integration and seeya again,2023-03-29,Negative
"It was good until they updated it and took out the today, someday, upcoming categories out, which is how I organized everything",2024-11-26,Neutral
"I found this app difficult to organize in a way that was useful for me. I couldn't separate which items showed up on my phone widget by topic, so it showed all of them which was unnecessary. I also found the reminders to plan my day annoying. It would be better with an improved calendar and prioritizing options. Last, it is extremely frustrating to try and unsubscribe from yearly renewal. It is buried deep in the info and the actual faq for this has a broken link. Super sketchy and rude.",2025-03-29,Negative
"Widget not working. Everytime i checked the next or previous month it'd be lagging and later it was just blank. Love the app but i really need the widget, sorry.",2024-10-11,Negative
no repeat alarm,2022-01-09,Negative
"Why are random items popping up on our Grocery List? Is this your way of advertising? We have purchased unnecessary items that I had never even heard of. Sun Maid Smore Bites? Nope, no one added them on. I love using the app, but this is very deceptive manipulating the grocery lists.",2025-01-27,Negative
"I switched to Any.do when Wunderlist ended. I wanted a simple interface that let me share lists and tasks with my husband. Any.do did that, but in the least efficient way possible. Our initials are the same and tiles aren't customizable, so it was impossible to tell who a task was assigned to. The app always defaulted to tasks even if I had just been using a shopping list. It was a huge pain to navigate. Not what we needed at all.",2024-03-26,Negative
Confused,2022-07-27,Negative
I like this apps but the thing is anything need to pay? So sorry to do list i only gave it 2 star and its so bad 😔,2025-02-28,Negative
Star,2023-02-08,Negative
"The app used to be great, now it's intrusive. I can't get it to stop popping up and inserting itself into my life. Uninstall.",2022-06-01,Negative
"Google login not working at all. Tried 2 accounts, gets stuck at setting up",2022-02-23,Negative
"With the recent upgrade, the phone app arbitrarily deletes things off my to do list or moves them around without me doing it. The app on my desktop is now slower than molasses. It worked great until the upgrade!",2025-02-17,Negative
"Tarefas (Tasks) somem sozinhas e atrasam nos horários em demais semanas pré-definidas. A ideia do aplicativo é boa mas esses problemas o torna praticamente inútil, inviável utilização.",2023-09-20,Negative
Its ok i guess,2023-08-10,Neutral
"The app was great until I suddenly lost all my data. I went to launch it after closing it 30 minutes ago, and everything was gone. I had so many tasks and notes in it",2022-04-14,Negative
"App shouldn't enforce sign in for use. Uninstalled. Waste of time. Edit: that sounds like optional functionality for an app labeled to do list! Not a complete blocker to using the app. For a simple ""I need to make a quick note to remind myself of later"" this isn't very good.",2022-09-11,Negative
Not what is expected,2025-02-09,Negative
"Useful app, but it just beeped/popped up a notification advertising some new features. I consider that spam, that's why you're getting the 2 stars.",2023-05-25,Negative
"First day of downloading it, it drained my battery in 6h (both phone and watch). Battery went back to normal once i uninstalled it. Please fix that guys so we can use the app",2022-04-09,Negative
Perhaps the least user friendly app on Playstore. My head is spinning. Why is it so hard to edit the time of reminder?,2022-06-02,Negative
The last update removed grid view and left us with a very odd task interface.,2024-07-02,Negative
This is not free. Paid one. Some features are limited till paid.,2024-05-27,Negative
"Upon making a task, setting time and date by typing them has become absurd! The app understands what it wants and acts by itself. What do you mean 'use natural language'?",2022-12-04,Neutral
"Update on 25/8/20 :- worst update ever,, was moderately ok until August update. app totally dewastated. Now it is even lags like hell. Not even able to strike down a task after doing it in one touch 👎👎👎",2024-04-01,Negative
App is good & I am using it since 6 months now BUT NOW A DAYS AUTOMATICALLY SHUTDOWN WHOLE WORKING,2024-08-14,Neutral
Got into the help menu by accident. Can't get back to my lists.,2022-06-10,Negative
"I used this app every day for years, but just uninstalled and changed to a different to do list app because of the new layout. The grid was much easier to use and better looking.",2024-03-11,Negative
I have bought it yet it displays ERROR IN VERIFYING MY WHATSAPP INTEGRATION 😡😡😡😡,2023-02-02,Neutral
"A lot of basic features locked away behind a pay wall, not very customisable imo . Not the right to-do list app for me.",2024-03-26,Negative
Ok it was good app but all the good feature are in premium no use of downloading if I'm not satisfied why would i pay for a premium one,2025-03-04,Neutral
"It duplicates events, often with the incorrect time, and delete events I invite other to. Very aggravating.",2023-02-05,Negative
Constant prompts for trials and upgrades. Super annoying.,2023-10-02,Negative
"My rating is just based on my needs. The app says it has recurring tasks, it does not. It does have recurring reminders for ""on going"" tasks which may be useful in certain applications. The result of which being if you click on a task that you do everyday it puts the next reminder on the list giving the illusion the task was left undone. The exact opposite of what a checklist should do. If you want actual individual repeating tasks or list this is not the app.",2024-11-22,Negative
"Beautifully designed interface, but VERY CLICK-BAITY / PUSHY - I would NOT recommend.",2023-11-19,Negative
"Bare Bones. Integrations are a lie. You have to use a third party app to make it work and Zapier is garbage. Grocery list is kind of cool. Calendar has that annoying Apple style slide that hides evens and is impossible to read instead of traditional blocks. Support button is for bug fixes only, so premium support is also a lie.",2023-04-05,Negative
I'm experiencing issues with the reminder option. Whenever I set a reminder I get neither the notification or the popup which as a result makes me forget things. This issue wasn't there before. What can be done to solve this?,2024-08-12,Negative
Rimnder alram ka bhi option h ya nhi,2023-04-15,Neutral
Loved this app but I prefer writing things down,2024-11-11,Positive
Ordinary updates delete reminders,2024-01-20,Negative
Why pay for such simplicity?,2022-02-07,Negative
