content,Sentiment,Predicted Star Rating,Confidence
Have to pay for recurrent daily task.. which is the main purpose of that app.,Neutral,3,0.31
"List sharing sharing is not working. UX is straight from iOS app, terrible",Negative,1,0.78
"Worst app I have ever used, it doesn't do anything.",Negative,1,0.93
Raben nat s7,Positive,5,0.24
First thing that happened upon opening is asking for payment. Good job.,Positive,4,0.5
"I do not have much to say in regards to the app itself. It seems to function fine, but it was not the calendar app that I needed. The reason I am giving it 1 star is because I canceled my subscription and account within the seven day free trial and still got charged the yearly rate. The problem has been reported to the company. I will keep this review updated with any action from Any.Do. UPDATE: The gist of the problem is this. Any.do makes it very difficult to find out how to cancel the sub.",Negative,1,0.9
"Unable to register with an email. Clicking""continue with email"" will just take you to a login page. Complete waste of time. I searched them first three pages of Google for a solution and found nothing. Found no solution on their help section. I don't want to register with Facebook or Google. If you include a feature, make sure it actually works.",Negative,1,0.92
"My backup is gone, very important data deleted",Negative,1,0.5
"Any.Forget... Had an instance of daily repeating event, that I have marked as complete today and somehow it did skip the next day and only proceeded to the day after. Kind of ""daily event with some days skipped"". So useless to me as can't be trusted for notifying about daily routine tasks. P.S. don't tell me I don't know how to setup a recurring event!!",Negative,1,0.57
"It works okay, But I did not consent to subscribing at $28/year subscription. I thought I purchased it until I saw that it was renewed for an additional $28. It's definitely not worth that price. Very angry and ripped off. I got charged twice for something that I thought I bought outright. I will never buy anything from them. Ever",Negative,2,0.49
Very slow app it took me 10 min just to start the app....,Negative,1,0.46
"Updates made that are not fully tested. They need to add option to revert back to the olddd verison. that was simple to use, but most importantly it worked.",Neutral,3,0.46
Anydo,Neutral,3,0.27
"App loding ke baad peese maang raha hai, pahle bataaye , data kyo kharaab karwaya",Negative,1,0.5
"Ruined the app by trying to get too fancy. My wife has also become frustrated with it. She has had it since it started and now struggles with it. You should be able to add a task then go straight to set time/day. But instead, you have all the other short cuts there that really aren't.",Negative,2,0.61
I could not have any expirions about this app,Negative,2,0.36
Terrible App. Don't waste your money.,Negative,1,0.94
I couldn't use it,Negative,2,0.42
Looks like a pretty good app but it doesn't sync with Alexa. Which is the main reason I installed it. Shouldn't be this difficult.,Neutral,3,0.55
"Forces you to sign up and use credentials, uninstalled.",Positive,5,0.51
Hf,Positive,4,0.27
Most useless app ever used! Very difficult to save anything or find anything! Put some tasks didn't get any reminders so didn't do it! Erasing this nonsense Can't even save this review,Negative,1,0.97
Its a great app but I dont receive any events notification although I have allowed the notification to come through from this app. I really don't understand why because I have set everything correctly.,Neutral,3,0.48
Virender.kumar,Positive,5,0.24
Useless,Negative,1,0.82
Price is high,Neutral,3,0.31
"Under subtitle *security* ""However, please note that we cannot guarantee that the information will not be exposed as a result of unauthorized penetration to our servers"" Sorry no thanks.i just downloaded but after reading privacy policy i prefer going thru •Google official •one & app like calendar required lot of access ,&i personally don't wanna bleach my data like this..btw the tq for placing the info it to let us know :)",Negative,1,0.38
Bad app,Negative,1,0.59
Tried doing all the settings as per ur guidence.. but app is not supporting popups in lock screen.. everytime I have to unlock my screen to check the event..,Negative,2,0.39
"This is an overengineered list keeping app that I hate. I kept it for years in spite of that because I was in the ecosystem, but today it locked me out of my grocery list so good riddance. No i don't need it to take thirty seconds to boot up my grocery list so that your algorithm can tell me how to most productively plan my day by sorting my grocery list in order of the order I entered each item. I do not need an any.do minute.",Positive,5,0.37
KimHong,Neutral,3,0.28
I hate this app 😡😤😤 as soon as I downloaded it my phone was hanging 😠😠😠😡😠😡 😠,Negative,1,0.91
"Monthly fee for Dark mode, really? I could accept a one time payment for such a feature but not monthly.",Negative,2,0.36
"No Grocery widget, Ridiculous... The task widget is confusing, I just want to be able to add stuff simply on the fly.",Negative,2,0.45
This app has Malware.,Negative,1,0.72
"Not happy, app just asked me to 'sign in' and now has deleted all my previous reminders. I had reminders set up for throughout the rest of this year and now I don't know what they were. You've put me off using your app now, what's the point if it's not reliable!!!",Negative,1,0.48
Not Making an Account!,Negative,1,0.71
"I was a customer of Any.Do for a while and on March 2020 i clearly asked them NOT to renew my subscription as i found a different company to provide me task manger services - Todoist. More than that - i even consult with Any.Do technical support team how to transfer my database to Todoist and over the phone, i ALSO remind them to cancel it. I received the cancellation notice and I DID NOT ask them to renew/continue any of Any.Do services. More than that - i also have the Invoice from the company i moved my services, Todoist, for the same period of time that Any.Do charged me for. After i tried to contact Any.Do they refused to refund me. Therefore, i let you and everybody to know that I WILL NOT USE ANY OF ANY.DO services anymore and recommend everyone that read this post DO NOT USE ANY.DO SERVICES or you taking a big risk that something like that will happen to you as well.",Negative,1,0.8
"EVERY service I attempted to connect (Gmail, Gtasks, google calendar,) timed out during setup (oops error). Been 2 days and still no reply from support. Device is Samsung S9 with Android 10.",Negative,1,0.6
"This app used to be great when paired with Alexa. Every once in awhile the sync would break but disabling the app and relinking the account would fix the issue. This has not been the case for the past several months. Any.do it is no longer syncing with Alexa and based on the reviews of the Alexa app it is affecting a lot of people, has been ongoing for weeks, and there doesn't appear to be a fix coming. Going to give anylist a try to see if it works with Alexa.",Negative,1,0.49
I dont know..why people appreciate this app..not user friendly...,Negative,2,0.46
Time setting is so dumb. Fix it,Negative,2,0.41
SWEETY SWEETY Kumari,Positive,5,0.5
Not working,Negative,1,0.64
No integration with created Alexa Lists.,Negative,1,0.48
You have to pay for all the decent features... There's nothing you want to do that your alarm doesn't already do,Negative,2,0.33
can't open,Negative,1,0.63
Hopeless,Negative,1,0.49
I dont understand how it works. Not very clear on how to use it. And it comstantly showed notifications for anything i made a note of,Negative,2,0.51
Do not have option to not connect to fb google or email,Negative,1,0.64
"It's testing the edge of my patience. Even though I have better internet connection it keeps saying ""couldn't find the Internet connection. Try again later"". It's my first time. I can't sign in so I can't go in to the app and plan anything. Already I tried reinstall twice.",Positive,4,0.3
Please Add UPI feature because I tried many debit cards to get the Premium Versionof this app but any of them was accepted.,Negative,1,0.36
Lost all my lists when I was forced to give email address. Was good prior to having to start all over.,Negative,2,0.33
"Many errors, the app is good but sometimes with the recurrent task do not work when I use desktop app it do not sync well and I lose many task and this is unpleasant. Pay for this app with this errors is a bad idea. I do no feel secure with app I lose taks and time. I hope the app get better. And the plan my day would be good if add the tasks in someday",Negative,2,0.54
"Since last 2 updates I am facing this problem that when I open the app, one or two tasks get shuffled to the top. Then I have to put it again in the planned sequence. This happens almost everytime I open the app.",Negative,1,0.4
"Updates made it worse. Was using it all the time, and the recent updates made it all confusing and unnecessarily graphically complex. Sorry had to uninstall.",Negative,2,0.49
Rare,Neutral,3,0.26
Good app but I wish there was a monthly payment option for premium instead of annual.,Neutral,3,0.48
Pushing to hard for premium upgrade. Not interested anymore,Negative,1,0.46
"Ill join with my fellow reviewers and say that i was very satisfied with the app when i started using it about two years ago, but since then i feel that its functionality and simplicity have been compromised, especially with the newest update that just made the app's interface (via smartphone) completely uncomfortable because i can't see my tasks laid out chronologically in an organized and pleasing way anymore.",Negative,2,0.62
Whapp integration is bad. Barely anything works. Focus to whapp integration and seeya again,Negative,1,0.61
"It was good until they updated it and took out the today, someday, upcoming categories out, which is how I organized everything",Neutral,3,0.38
"I found this app difficult to organize in a way that was useful for me. I couldn't separate which items showed up on my phone widget by topic, so it showed all of them which was unnecessary. I also found the reminders to plan my day annoying. It would be better with an improved calendar and prioritizing options. Last, it is extremely frustrating to try and unsubscribe from yearly renewal. It is buried deep in the info and the actual faq for this has a broken link. Super sketchy and rude.",Negative,2,0.64
"Widget not working. Everytime i checked the next or previous month it'd be lagging and later it was just blank. Love the app but i really need the widget, sorry.",Negative,2,0.47
no repeat alarm,Negative,1,0.45
"Why are random items popping up on our Grocery List? Is this your way of advertising? We have purchased unnecessary items that I had never even heard of. Sun Maid Smore Bites? Nope, no one added them on. I love using the app, but this is very deceptive manipulating the grocery lists.",Negative,1,0.64
"I switched to Any.do when Wunderlist ended. I wanted a simple interface that let me share lists and tasks with my husband. Any.do did that, but in the least efficient way possible. Our initials are the same and tiles aren't customizable, so it was impossible to tell who a task was assigned to. The app always defaulted to tasks even if I had just been using a shopping list. It was a huge pain to navigate. Not what we needed at all.",Negative,1,0.49
Confused,Negative,1,0.47
I like this apps but the thing is anything need to pay? So sorry to do list i only gave it 2 star and its so bad 😔,Negative,2,0.96
Star,Negative,1,0.33
"The app used to be great, now it's intrusive. I can't get it to stop popping up and inserting itself into my life. Uninstall.",Negative,2,0.47
"Google login not working at all. Tried 2 accounts, gets stuck at setting up",Negative,1,0.83
"With the recent upgrade, the phone app arbitrarily deletes things off my to do list or moves them around without me doing it. The app on my desktop is now slower than molasses. It worked great until the upgrade!",Negative,2,0.44
"Tarefas (Tasks) somem sozinhas e atrasam nos horários em demais semanas pré-definidas. A ideia do aplicativo é boa mas esses problemas o torna praticamente inútil, inviável utilização.",Negative,1,0.52
Its ok i guess,Neutral,3,0.73
"The app was great until I suddenly lost all my data. I went to launch it after closing it 30 minutes ago, and everything was gone. I had so many tasks and notes in it",Negative,2,0.38
"App shouldn't enforce sign in for use. Uninstalled. Waste of time. Edit: that sounds like optional functionality for an app labeled to do list! Not a complete blocker to using the app. For a simple ""I need to make a quick note to remind myself of later"" this isn't very good.",Negative,1,0.75
Not what is expected,Negative,2,0.43
"Useful app, but it just beeped/popped up a notification advertising some new features. I consider that spam, that's why you're getting the 2 stars.",Negative,2,0.92
"First day of downloading it, it drained my battery in 6h (both phone and watch). Battery went back to normal once i uninstalled it. Please fix that guys so we can use the app",Negative,1,0.58
Perhaps the least user friendly app on Playstore. My head is spinning. Why is it so hard to edit the time of reminder?,Negative,1,0.44
The last update removed grid view and left us with a very odd task interface.,Negative,2,0.33
This is not free. Paid one. Some features are limited till paid.,Negative,1,0.62
"Upon making a task, setting time and date by typing them has become absurd! The app understands what it wants and acts by itself. What do you mean 'use natural language'?",Neutral,3,0.24
"Update on 25/8/20 :- worst update ever,, was moderately ok until August update. app totally dewastated. Now it is even lags like hell. Not even able to strike down a task after doing it in one touch 👎👎👎",Negative,1,0.83
App is good & I am using it since 6 months now BUT NOW A DAYS AUTOMATICALLY SHUTDOWN WHOLE WORKING,Neutral,3,0.3
Got into the help menu by accident. Can't get back to my lists.,Negative,1,0.47
"I used this app every day for years, but just uninstalled and changed to a different to do list app because of the new layout. The grid was much easier to use and better looking.",Negative,2,0.5
I have bought it yet it displays ERROR IN VERIFYING MY WHATSAPP INTEGRATION 😡😡😡😡,Neutral,3,0.29
"A lot of basic features locked away behind a pay wall, not very customisable imo . Not the right to-do list app for me.",Negative,2,0.54
Ok it was good app but all the good feature are in premium no use of downloading if I'm not satisfied why would i pay for a premium one,Neutral,3,0.67
"It duplicates events, often with the incorrect time, and delete events I invite other to. Very aggravating.",Negative,2,0.56
Constant prompts for trials and upgrades. Super annoying.,Negative,1,0.43
"My rating is just based on my needs. The app says it has recurring tasks, it does not. It does have recurring reminders for ""on going"" tasks which may be useful in certain applications. The result of which being if you click on a task that you do everyday it puts the next reminder on the list giving the illusion the task was left undone. The exact opposite of what a checklist should do. If you want actual individual repeating tasks or list this is not the app.",Negative,2,0.34
"Beautifully designed interface, but VERY CLICK-BAITY / PUSHY - I would NOT recommend.",Negative,2,0.57
"Bare Bones. Integrations are a lie. You have to use a third party app to make it work and Zapier is garbage. Grocery list is kind of cool. Calendar has that annoying Apple style slide that hides evens and is impossible to read instead of traditional blocks. Support button is for bug fixes only, so premium support is also a lie.",Negative,2,0.52
I'm experiencing issues with the reminder option. Whenever I set a reminder I get neither the notification or the popup which as a result makes me forget things. This issue wasn't there before. What can be done to solve this?,Negative,2,0.36
Rimnder alram ka bhi option h ya nhi,Neutral,3,0.26
Loved this app but I prefer writing things down,Positive,4,0.51
Ordinary updates delete reminders,Negative,1,0.29
Why pay for such simplicity?,Negative,1,0.33
"For an app that's meant to help me organise my time more effectively, I didn't expect it would take the longest time to boot up compared to all the utility apps on my device... Really nice UI though...",Neutral,3,0.48
Why so expensive? Microsoft Task or reminder offer most of the features that this app has. Could you please decrease the price a little bit? Or give me some discount? Atleast for the first Year?,Neutral,3,0.37
